t,t6,t10,t14,,,
1,8.95E+05,8.95E+05,8.95E+05,,,
2,1.30E+06,1.30E+06,1.30E+06,,,
3,1.54E+06,1.54E+06,1.54E+06,,,
4,1.76E+06,2.05E+06,2.23E+06,,,
5,1.95E+06,2.19E+06,2.33E+06,,,
6,2.09E+06,2.26E+06,2.38E+06,,,
7,2.19E+06,2.43E+06,2.45E+06,,,
8,2.30E+06,2.49E+06,2.46E+06,,,`
9,2.36E+06,2.50E+06,2.45E+06,,,
10,2.41E+06,2.46E+06,2.33E+06,,,
11,2.49E+06,2.47E+06,2.32E+06,,,
12,2.52E+06,2.45E+06,2.28E+06,,,
13,2.53E+06,2.37E+06,2.06E+06,,,
14,2.54E+06,2.37E+06,2.02E+06,,,
15,2.53E+06,2.33E+06,1.97E+06,,,
16,2.51E+06,2.21E+06,1.70E+06,,,
17,2.52E+06,2.18E+06,1.64E+06,,,
18,2.49E+06,2.13E+06,1.59E+06,,,
19,2.47E+06,1.99E+06,1.30E+06,,,
20,2.46E+06,1.93E+06,1.25E+06,,,
21,2.43E+06,1.87E+06,1.18E+06,,,
22,2.40E+06,1.71E+06,8.52E+05,,,
23,2.39E+06,1.65E+06,7.78E+05,,,
24,2.35E+06,1.60E+06,7.08E+05,,,
25,2.30E+06,1.42E+06,4.24E+05,,,
26,2.27E+06,1.37E+06,3.78E+05,,,
27,2.22E+06,1.31E+06,3.36E+05,,,
28,2.18E+06,1.13E+06,8.61E+04,,,
29,2.14E+06,1.07E+06,1.42E+05,,,
30,2.09E+06,9.97E+05,1.97E+05,,,
31,2.03E+06,7.84E+05,8.35E+04,,,
32,1.98E+06,7.14E+05,1.44E+05,,,
33,1.92E+06,6.47E+05,6.05E+04,,,
34,1.85E+06,4.75E+05,1.01E+05,,,
35,1.80E+06,4.26E+05,8.11E+04,,,
36,1.73E+06,3.79E+05,1.97E+04,,,
37,1.67E+06,8.64E+04,0.00E+00,,,
38,1.61E+06,1.42E+05,0.00E+00,,,
39,1.55E+06,1.98E+05,0.00E+00,,,
40,1.49E+06,8.39E+04,0.00E+00,,,
41,1.43E+06,1.45E+05,0.00E+00,,,
42,1.37E+06,6.07E+04,0.00E+00,,,
43,1.31E+06,1.01E+05,0.00E+00,,,
44,1.26E+06,8.16E+04,0.00E+00,,,
45,1.19E+06,2.02E+04,0.00E+00,,,
46,1.13E+06,0.00E+00,0.00E+00,,,
47,1.07E+06,0.00E+00,0.00E+00,,,
48,1.00E+06,0.00E+00,0.00E+00,,,
49,9.30E+05,0.00E+00,0.00E+00,,,
50,8.61E+05,0.00E+00,0.00E+00,,,
51,7.87E+05,0.00E+00,0.00E+00,,,
52,7.16E+05,0.00E+00,0.00E+00,,,
53,6.49E+05,0.00E+00,0.00E+00,,,
54,5.86E+05,0.00E+00,0.00E+00,,,
55,5.29E+05,0.00E+00,0.00E+00,,,
56,4.77E+05,0.00E+00,0.00E+00,,,
57,4.27E+05,0.00E+00,0.00E+00,,,
58,3.80E+05,0.00E+00,0.00E+00,,,
59,3.38E+05,0.00E+00,0.00E+00,,,
60,2.99E+05,0.00E+00,0.00E+00,,,
61,8.67E+04,0.00E+00,0.00E+00,,,
62,1.43E+05,0.00E+00,0.00E+00,,,
63,1.99E+05,0.00E+00,0.00E+00,,,
64,8.43E+04,0.00E+00,0.00E+00,,,
65,1.45E+05,0.00E+00,0.00E+00,,,
66,6.10E+04,0.00E+00,0.00E+00,,,
67,1.02E+05,0.00E+00,0.00E+00,,,
68,8.22E+04,0.00E+00,0.00E+00,,,
69,2.04E+04,0.00E+00,0.00E+00,,,
