t,t6,t10,t14
1,3290.00,3290.00,3290.00
2,3060.00,3060.00,3060.00
3,2770.00,2770.00,2770.00
4,2870.00,2390.00,2090.00
5,2570.00,2250.00,1950.00
6,2390.00,2090.00,1840.00
7,2270.00,1760.00,1440.00
8,2110.00,1670.00,1390.00
9,1970.00,1590.00,1350.00
10,1870.00,1400.00,1210.00
11,1770.00,1360.00,1180.00
12,1680.00,1320.00,1160.00
13,1620.00,1230.00,1050.00
14,1530.00,1210.00,1020.00
15,1460.00,1190.00,989.00
16,1430.00,1130.00,844.00
17,1380.00,1100.00,816.00
18,1340.00,1080.00,788.00
19,1310.00,1000.00,640.00
20,1280.00,964.00,610.00
21,1250.00,935.00,578.00
22,1250.00,849.00,407.00
23,1220.00,821.00,370.00
24,1200.00,792.00,336.00
25,1180.00,703.00,198.00
26,1160.00,673.00,176.00
27,1130.00,644.00,155.00
28,1110.00,549.00,29.00
29,1080.00,516.00,59.00
30,1050.00,481.00,89.00
31,1030.00,373.00,32.00
32,987.00,339.00,64.00
33,954.00,305.00,21.00
34,926.00,222.00,43.00
35,890.00,198.00,10.00
36,857.00,176.00,0.00
37,827.00,29.00,0.00
38,796.00,59.00,0.00
39,766.00,89.00,0.00
40,735.00,32.00,0.00
41,705.00,64.00,0.00
42,675.00,21.00,0.00
43,646.00,43.00,0.00
44,616.00,10.00,0.00
45,583.00,0.00,0.00
46,550.00,0.00,0.00
47,517.00,0.00,0.00
48,482.00,0.00,0.00
49,447.00,0.00,0.00
50,411.00,0.00,0.00
51,374.00,0.00,0.00
52,340.00,0.00,0.00
53,306.00,0.00,0.00
54,276.00,0.00,0.00
55,248.00,0.00,0.00
56,223.00,0.00,0.00
57,199.00,0.00,0.00
58,177.00,0.00,0.00
59,156.00,0.00,0.00
60,138.00,0.00,0.00
61,29.00,0.00,0.00
62,59.00,0.00,0.00
63,89.00,0.00,0.00
64,32.00,0.00,0.00
65,65.00,0.00,0.00
66,21.00,0.00,0.00
67,43.00,0.00,0.00
68,10.00,0.00,0.00
69,0.00,0.00,0.00
