t,t6,t10,t14,
1,3.29E+03,3.29E+03,3.29E+03,
2,3.06E+03,3.06E+03,3.06E+03,
3,2.77E+03,2.77E+03,2.77E+03,
4,2.87E+03,2.39E+03,2.09E+03,
5,2.57E+03,2.25E+03,1.95E+03,
6,2.39E+03,2.09E+03,1.84E+03,
7,2.27E+03,1.76E+03,1.44E+03,
8,2.11E+03,1.67E+03,1.39E+03,
9,1.97E+03,1.59E+03,1.35E+03,
10,1.87E+03,1.40E+03,1.21E+03,
11,1.77E+03,1.36E+03,1.18E+03,
12,1.68E+03,1.32E+03,1.16E+03,
13,1.62E+03,1.23E+03,1.05E+03,
14,1.53E+03,1.21E+03,1.02E+03,
15,1.46E+03,1.19E+03,9.89E+02,
16,1.43E+03,1.13E+03,8.44E+02,
17,1.38E+03,1.10E+03,8.16E+02,
18,1.34E+03,1.08E+03,7.88E+02,
19,1.31E+03,1.00E+03,6.40E+02,
20,1.28E+03,9.64E+02,6.10E+02,
21,1.25E+03,9.35E+02,5.78E+02,
22,1.25E+03,8.49E+02,4.07E+02,
23,1.22E+03,8.21E+02,3.70E+02,
24,1.20E+03,7.92E+02,3.36E+02,
25,1.18E+03,7.03E+02,1.98E+02,
26,1.16E+03,6.73E+02,1.76E+02,
27,1.13E+03,6.44E+02,1.55E+02,
28,1.11E+03,5.49E+02,2.90E+01,
29,1.08E+03,5.16E+02,5.90E+01,
30,1.05E+03,4.81E+02,8.90E+01,
31,1.03E+03,3.73E+02,3.20E+01,
32,9.87E+02,3.39E+02,6.40E+01,
33,9.54E+02,3.05E+02,2.10E+01,
34,9.26E+02,2.22E+02,4.30E+01,
35,8.90E+02,1.98E+02,1.00E+01,
36,8.57E+02,1.76E+02,0.00E+00,
37,8.27E+02,2.90E+01,0.00E+00,
38,7.96E+02,5.90E+01,0.00E+00,
39,7.66E+02,8.90E+01,0.00E+00,
40,7.35E+02,3.20E+01,0.00E+00,
41,7.05E+02,6.40E+01,0.00E+00,
42,6.75E+02,2.10E+01,0.00E+00,
43,6.46E+02,4.30E+01,0.00E+00,
44,6.16E+02,1.00E+01,0.00E+00,
45,5.83E+02,0.00E+00,0.00E+00,
46,5.50E+02,0.00E+00,0.00E+00,
47,5.17E+02,0.00E+00,0.00E+00,
48,4.82E+02,0.00E+00,0.00E+00,
49,4.47E+02,0.00E+00,0.00E+00,
50,4.11E+02,0.00E+00,0.00E+00,
51,3.74E+02,0.00E+00,0.00E+00,
52,3.40E+02,0.00E+00,0.00E+00,
53,3.06E+02,0.00E+00,0.00E+00,
54,2.76E+02,0.00E+00,0.00E+00,
55,2.48E+02,0.00E+00,0.00E+00,
56,2.23E+02,0.00E+00,0.00E+00,
57,1.99E+02,0.00E+00,0.00E+00,
58,1.77E+02,0.00E+00,0.00E+00,
59,1.56E+02,0.00E+00,0.00E+00,
60,1.38E+02,0.00E+00,0.00E+00,
61,2.90E+01,0.00E+00,0.00E+00,
62,5.90E+01,0.00E+00,0.00E+00,
63,8.90E+01,0.00E+00,0.00E+00,
64,3.20E+01,0.00E+00,0.00E+00,
65,6.50E+01,0.00E+00,0.00E+00,
66,2.10E+01,0.00E+00,0.00E+00,
67,4.30E+01,0.00E+00,0.00E+00,
68,1.00E+01,0.00E+00,0.00E+00,
69,0.00E+00,0.00E+00,0.00E+00,
